"species","family","respiration_rate_gC_per_d","individual_mass_g","temperature_celsius","habitat","reef"
"Abramis brama","Cyprinidae",135,102.9,291.15,"Freshwater","no"
"Abramis brama","Cyprinidae",196,69.5,291.15,"Freshwater","no"
"Abramis brama","Cyprinidae",210,38.7,291.15,"Freshwater","no"
"Abramis brama","Cyprinidae",339,135.5,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",351,155.35,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",437,312.96,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",437,254.96,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",487,155.35,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",494,84,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",510,250.64,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",510,234.08,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",511,114.22,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",519,287.34,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",528,297.33,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",547,93.05,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",565,218.62,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",575,242.22,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",576,73.26,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",582,190.69,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",585,166.33,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",585,250.64,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",606,75.8,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",615,226.22,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",616,181.17,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",627,59.68,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",648,122.3,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",648,204.18,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",649,84,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",671,114.22,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",682,126.55,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",694,130.95,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",694,99.63,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",694,106.68,293.15,"Freshwater","no"
